worry,anxiety
nervousness,anxiety
fear,anxiety

tension,stress
strain,stress

workout,physical_activity
exercise,physical_activity
activity,physical_activity

depressive_symptoms,depression
sadness,depression
low_mood,depression

exhaustion,burnout
fatigue,burnout

well-being,wellbeing
well_being,wellbeing
wellness,wellbeing

college_student,student
undergraduate,student
learner,student

school,academic
educational,academic

achievement,performance
outcome,performance

assistance,support
help,support

counselling,counseling
therapy,counseling
psychotherapy,counseling

sleep_quality,sleep
rest,sleep

diet,nutrition
eating,nutrition

attention,concentration

social_networks,social_media
networking,social_media

self-control,self_regulation
self_control,self_regulation

respiration,breathing
breathwork,breathing

psychological_health,mental_health
emotional_health,mental_health

seeking_help,help_seeking
seek_help,help_seeking

loneliness,isolation
social_isolation,isolation
