academic,pressure,academic_pressure
school,pressure,academic_pressure

emotional,support,emotional_support
university,support,institutional_support
campus,support,campus_support
college,support,institutional_support
student,support,student_support
mental,support,mental_health_support
counseling,support,counseling_support

mental,health,mental_health
psychological,health,psychological_health
emotional,health,emotional_health

campus,wellbeing,campus_wellbeing
student,wellbeing,student_wellbeing
college,wellbeing,college_wellbeing

academic,stress,academic_stress
student,stress,student_stress
college,stress,college_stress

academic,performance,academic_performance
school,performance,school_performance

counseling,services,counseling_services
mental,services,mental_health_services
student,services,student_services
campus,services,campus_services

quality,sleep,sleep_quality
mental,sleep,mental_health_sleep

student,life,student_life
campus,life,campus_life
college,life,college_life

social,media,social_media
social,network,social_network

emotional,regulation,emotional_regulation
self,regulation,self_regulation

physical,activity,physical_activity

seeking,help,help_seeking
student,help,student_help

social,isolation,social_isolation
